entity,field,type,nullable,units,meaning,reference,storage
source_observation,clock_error_bound_ms,DECIMAL_TEXT,true,explicit unit field/source contract,"known timing uncertainty, not assumed zero",,stored
source_observation,clock_session_id,TEXT,true,not applicable,Boot/process clock namespace,,stored
source_observation,coverage_definition,TEXT,true,not applicable,Coverage numerator and denominator meaning,,stored
source_observation,coverage_fraction,DECIMAL_TEXT,true,explicit unit field/source contract,measured coverage and denominator definition,,stored
source_observation,first_available_at,UTC,true,UTC microseconds; original precision in source envelope,independently evidenced public availability,,stored
source_observation,first_received_at,UTC,true,UTC microseconds; original precision in source envelope,"Actual first receipt; required for prospective, null/unknown_legacy for historical imports without receipt evidence",,stored
source_observation,gap_duration_ms,DECIMAL_TEXT,true,explicit unit field/source contract,Measured transport gaps,,stored
source_observation,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
source_observation,ingested_at,UTC,false,UTC microseconds; original precision in source envelope,durable ingestion time,,stored
source_observation,legacy_reference,JSON,true,not applicable,Original table/key/hash and original provenance label,,stored
source_observation,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
source_observation,missing_reason,ENUM,false,not applicable,observed or explicit missingness,,stored
source_observation,native_clock_details,JSON,false,not applicable,Each clock raw value/unit/precision/timezone/semantic status,,stored
source_observation,native_record_id,TEXT,true,not applicable,source trade/document/message ID,,stored
source_observation,observation_id,HASH,false,not applicable,immutable unique key; compatibility alias equal to canonical id,,stored
source_observation,parsed_at,UTC,true,UTC microseconds; original precision in source envelope,Parser completion,,stored
source_observation,parser_version,TEXT,false,not applicable,parser identity,,stored
source_observation,payload_encoding,ENUM,false,not applicable,utf8/base64/withheld/unavailable,,stored
source_observation,payload_hash,HASH,false,not applicable,content integrity,,stored
source_observation,protocol_version,TEXT,true,not applicable,v1/v2/contract era,,stored
source_observation,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic,,stored
source_observation,quality_assessment_state,ENUM,false,not applicable,checked/not_checked,,stored
source_observation,quality_flags,ID_LIST,false,not applicable,empty array means checked/no flags only when documented,,stored
source_observation,raw_payload_inline,TEXT,true,not applicable,Original bytes UTF-8 or base64 with declared encoding,,stored
source_observation,raw_payload_uri,TEXT,true,not applicable,rights-permitted source object,,stored
source_observation,raw_timestamp,TEXT,true,not applicable,original timestamp value,,stored
source_observation,receipt_monotonic_ns,UINT_TEXT,true,not applicable,"Process monotonic clock, not comparable across sessions",,stored
source_observation,receipt_ordinal,INT64,false,not applicable,Monotonic counter within request/connection,,stored
source_observation,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
source_observation,request_cursor,TEXT,true,not applicable,page traversal lineage,,stored
source_observation,request_id,TEXT,false,not applicable,Locally issued request or connection ID,,stored
source_observation,request_metadata,JSON,false,not applicable,"Page, response status, gaps; redact auth/PII secrets",,stored
source_observation,revision_of,TEXT,true,not applicable,append-only revision link,source_observation.id,stored
source_observation,schema_version,TEXT,false,not applicable,schema hash,,stored
source_observation,source_event_at,UTC,true,UTC microseconds; original precision in source envelope,"source event time, not ingestion",,stored
source_observation,source_id,TEXT,false,not applicable,source registry foreign key,,stored
source_observation,source_published_at,UTC,true,UTC microseconds; original precision in source envelope,publisher-declared time,,stored
source_observation,source_registry_id,HASH,false,not applicable,Exact source registry version,source_registry.id,stored
source_observation,source_sequence,TEXT,true,not applicable,only where actually supplied,,stored
source_observation,timestamp_unit,TEXT,true,not applicable,seconds/milliseconds/ISO/etc,,stored
source_registry,access_state,ENUM,false,not applicable,documented_only/runtime_verified/blocked/retired,,stored
source_registry,clock_semantics,JSON,false,not applicable,"Native timestamp fields, units, precision and meaning",,stored
source_registry,endpoint,TEXT,false,not applicable,Public read endpoint/topic; exclude credentials,,stored
source_registry,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
source_registry,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
source_registry,parser_version,TEXT,false,not applicable,Version of parser contract,,stored
source_registry,protocol_version,TEXT,true,not applicable,Documented protocol era,,stored
source_registry,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
source_registry,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
source_registry,registry_version,HASH,false,not applicable,"Hash of contract, rights, parser and protocol semantics",,stored
source_registry,rights_evidence,JSON,false,not applicable,"URL, checked time and permitted collection/storage/use scope",,stored
source_registry,rights_state,ENUM,false,not applicable,unknown/permitted/restricted/prohibited for declared use,,stored
source_registry,schema_hash,HASH,false,not applicable,Pinned expected source schema,,stored
source_registry,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
source_registry,source_id,TEXT,false,not applicable,Stable source namespace including endpoint/topic,,stored
source_registry,supersedes_id,HASH,true,not applicable,Prior registry revision,source_registry.id,stored
source_registry,unit_conventions,JSON,false,not applicable,Named numerical units and side semantics,,stored
source_registry,verified_observation_id,HASH,true,not applicable,Bounded runtime verification evidence; deferred FK to avoid cycle,source_observation.id,stored
target_definition,horizon_seconds,INT64,true,not applicable,Null only for event-driven target,,stored
target_definition,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
target_definition,label_rule,JSON,false,not applicable,"Thresholds, flat handling, censoring and revisions",,stored
target_definition,metric_contract,JSON,false,not applicable,Primary/secondary scoring and coverage definitions,,stored
target_definition,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
target_definition,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
target_definition,quote_rule,JSON,false,not applicable,"Selection, timestamp basis, age and tolerance",,stored
target_definition,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
target_definition,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
target_definition,target_family,ENUM,false,not applicable,T1/T2/T3/T4/T5/T6/T7,,stored
target_definition,target_version,HASH,false,not applicable,Full frozen target hash,,stored
target_definition,units,TEXT,false,not applicable,Target units,,stored
token_outcome_version,chain_id,INT64,true,not applicable,EVM chain namespace when verified,,stored
token_outcome_version,condition_identity_id,HASH,true,not applicable,Condition mapping,condition_identity.id,stored
token_outcome_version,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
token_outcome_version,mapping_evidence_ids,ID_LIST,false,not applicable,Evidence observations,,stored
token_outcome_version,mapping_version,HASH,false,not applicable,Mapping hash,,stored
token_outcome_version,market_identity_id,HASH,false,not applicable,Market version supplying the ordered outcomes,market_identity_version.id,stored
token_outcome_version,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
token_outcome_version,observed_from_at,UTC,false,UTC microseconds; original precision in source envelope,First known mapping time,,stored
token_outcome_version,outcome_index,INT64,true,not applicable,source outcome position,,stored
token_outcome_version,outcome_label,TEXT,true,not applicable,versioned descriptive label,,stored
token_outcome_version,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
token_outcome_version,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
token_outcome_version,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
token_outcome_version,supersedes_id,HASH,true,not applicable,Prior outcome version,token_outcome_version.id,stored
token_outcome_version,token_contract,ADDRESS,true,not applicable,token contract identity,,stored
token_outcome_version,token_id,UINT_TEXT,true,not applicable,never binary float,,stored
token_outcome_version,valid_from_at,UTC,true,UTC microseconds; original precision in source envelope,Effective source start,,stored
token_outcome_version,valid_to_at,UTC,true,UTC microseconds; original precision in source envelope,Effective source end,,stored
trade_observation,aggressor_side,ENUM,true,not applicable,buy/sell/unknown; source semantics versioned,,stored
trade_observation,block_hash,HEX32,true,not applicable,reorg detection,,stored
trade_observation,block_number,UINT_TEXT,true,not applicable,historical state reference,,stored
trade_observation,chain_id,INT64,true,not applicable,Chain namespace,,stored
trade_observation,deduplication_status,ENUM,false,not applicable,verified/source_local/ambiguous,,stored
trade_observation,deduplication_version,TEXT,false,not applicable,Native-key or documented compound-key recipe,,stored
trade_observation,economic_fill_key,TEXT,true,not applicable,"Verified cross-record fill identity, not transaction alone",,stored
trade_observation,fee_native,DECIMAL_TEXT,true,explicit unit field/source contract,actual fee and units,,stored
trade_observation,fee_unit,TEXT,true,not applicable,Native fee unit and decimals,,stored
trade_observation,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
trade_observation,log_index,INT64,true,not applicable,unique chain event position,,stored
trade_observation,maker_wallet,TEXT,true,not applicable,public attribution only,,stored
trade_observation,match_status,ENUM,false,not applicable,matched/unknown,,stored
trade_observation,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
trade_observation,notional_currency,TEXT,false,not applicable,"Collateral namespace, not implicitly USD",,stored
trade_observation,price_decimal,DECIMAL_TEXT,true,explicit unit field/source contract,Exact parsed collateral/share,,stored
trade_observation,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
trade_observation,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
trade_observation,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
trade_observation,settlement_status,ENUM,false,not applicable,matched/settled/reverted/unknown,,stored
trade_observation,side_semantics_version,TEXT,false,not applicable,Meaning of buy/sell and maker/taker,,stored
trade_observation,size_decimal,DECIMAL_TEXT,true,explicit unit field/source contract,Exact parsed shares,,stored
trade_observation,source_observation_id,HASH,false,not applicable,Raw fill source,source_observation.id,stored
trade_observation,supersedes_id,HASH,true,not applicable,Settlement correction/reorg version,trade_observation.id,stored
trade_observation,taker_wallet,TEXT,true,not applicable,public attribution only,,stored
trade_observation,token_outcome_id,HASH,false,not applicable,As-known asset mapping,token_outcome_version.id,stored
trade_observation,trade_id,TEXT,false,not applicable,deduplicated economic fill key,,stored
trade_observation,trade_notional,DECIMAL_TEXT,true,explicit unit field/source contract,price times size with currency,,stored
trade_observation,trade_price_raw,TEXT,false,not applicable,native exact price,,stored
trade_observation,trade_size_raw,TEXT,false,not applicable,native exact size,,stored
trade_observation,transaction_hash,HEX32,true,not applicable,settlement lineage,,stored
wallet_state_version,as_of_cutoff_at,UTC,false,UTC microseconds; original precision in source envelope,Latest allowed dependency time,,stored
wallet_state_version,attribution_confidence,DECIMAL_TEXT,true,explicit unit field/source contract,"Address attribution confidence, not person identity",,stored
wallet_state_version,available_to_model_at,UTC,false,UTC microseconds; original precision in source envelope,After inputs and computation,,stored
wallet_state_version,chain_id,INT64,false,not applicable,Wallet address namespace,,stored
wallet_state_version,coverage_start_at,UTC,true,UTC microseconds; original precision in source envelope,first time history is known complete,,stored
wallet_state_version,first_observed_at,UTC,false,UTC microseconds; original precision in source envelope,not necessarily wallet creation,,stored
wallet_state_version,history_coverage_fraction,DECIMAL_TEXT,true,explicit unit field/source contract,Measured coverage,,stored
wallet_state_version,history_manifest_id,TEXT,false,not applicable,as-of source/label dependencies,artifact_manifest.id,stored
wallet_state_version,holding_shares,DECIMAL_TEXT,true,explicit unit field/source contract,reconciled as-of balance,,stored
wallet_state_version,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
wallet_state_version,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
wallet_state_version,net_flow,DECIMAL_TEXT,true,explicit unit field/source contract,defined window and unit,,stored
wallet_state_version,prior_mature_event_count,INT64,false,not applicable,labels available before origin only,,stored
wallet_state_version,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
wallet_state_version,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
wallet_state_version,role_flags,ID_LIST,false,not applicable,market maker/arbitrage unknown/proxy etc; uncertain,,stored
wallet_state_version,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
wallet_state_version,skill_posterior_mean,DECIMAL_TEXT,true,explicit unit field/source contract,price-adjusted mature-history effect,,stored
wallet_state_version,skill_posterior_sd,DECIMAL_TEXT,true,explicit unit field/source contract,uncertainty and pooling version,,stored
wallet_state_version,state_definition_version,HASH,false,not applicable,Holding/flow/skill definitions,,stored
wallet_state_version,supersedes_id,HASH,true,not applicable,Prior version,wallet_state_version.id,stored
wallet_state_version,token_outcome_id,HASH,true,not applicable,Specific asset state or portfolio manifest,token_outcome_version.id,stored
wallet_state_version,uncertainty,JSON,false,not applicable,Typed posterior intervals/coverage and unassigned quantities,,stored
wallet_state_version,wallet_id,TEXT,false,not applicable,public address namespace,,stored
