experiment_id,feature_id,name,hypothesis,null,mechanism,feature_definition,raw_inputs,sources,source_urls,primary_horizon,secondary_horizons,target,eligible_population,sampling_controls,baseline,confounders,primary_test,effective_sample_requirement,validation,falsification,dependencies,cost_difficulty,priority,expected_information_gain,evidence_ids,status
H27,F27,Quote persistence,Persistent imbalance is more predictive than transient imbalance,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Persistent imbalance is more predictive than transient imbalance; this is a hypothesis, not an established AREPO result.",time-weighted imbalance / instantaneous imbalance with zero-safe representation,"timestamped changes,imbalance series",PBOOK,https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Gap-free 60-second book windows,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Receipts batched; unchanged stale book mimics persistence,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Retain last-update age; compare duration and update-count weighted variants.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E05;HYP,Designed; not executed; no edge established
H28,F28,Impact continuation versus reversal,Trade shocks split into transient and persistent components using depth and flow context,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Trade shocks split into transient and persistent components using depth and flow context; this is a hypothesis, not an established AREPO result.",signed logit(mid at origin)-logit(pre-trade mid); subsequent residual response,trade and pre/post quotes; actual timestamps,PTRADE;PBOOK,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/market-data/realtime-data,15m,1m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Origin 5s after impact; legitimate pre-trade book,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Predicting already-observed impact; bid-ask bounce; selection on price move,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Forecast remaining response only; estimate response curves over preregistered horizons.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;E20,Designed; not executed; no edge established
H29,F29,Signed-flow autocorrelation,Persistent flow predicts continued repricing beyond the latest bin,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Persistent flow predicts continued repricing beyond the latest bin; this is a hypothesis, not an established AREPO result.","corr(signed notional in adjacent fixed bins), conditional on total flow","deduplicated fills,sides,times",PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Minimum bin coverage and trades specified,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Single order split across fills; market-maker inventory cycling,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare order-linked dedup where possible; retain unknown fill grouping.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E29;HYP,Designed; not executed; no edge established
H30,F30,Trade size tail shape,Heavy-tailed flow carries information beyond the maximum trade,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Heavy-tailed flow carries information beyond the maximum trade; this is a hypothesis, not an established AREPO result.",p95 size / median size; top-1% volume share; raw distribution retained,"exact trade sizes,notionals,coverage",PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Adequate trade count and no pagination truncation,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Small-sample quantile instability; denomination and liquidity effects,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Shrink quantiles and control count; separate signed tails by side.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H31,F31,Flow disagreement,High opposing flow forecasts volatility or reduced directional reliability,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"High opposing flow forecasts volatility or reduced directional reliability; this is a hypothesis, not an established AREPO result.",1-abs(net signed notional)/gross notional; wallet-side entropy separately,all buy/sell flow and wallet side counts,PTRADE;PWALLET,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,15m,1h;6h,T2 magnitude / probability of material move,Attributed and unattributed volume shares known,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Wash-like circulation, market making, complement-token double counts",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Primary magnitude target; directional candidate includes signed net flow main effect.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H32,F32,Open-interest versus volume,New capital exposure distinguishes informative positioning from churn,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"New capital exposure distinguishes informative positioning from churn; this is a hypothesis, not an established AREPO result.",change(open interest)/gross traded notional with gross flows separate,"as-of OI,trade volume,splits,merges",PDATA;PCHAIN,https://data-api.polymarket.com/v2/docs | https://docs.polymarket.com/resources/contracts,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Comparable OI snapshots and token universe,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"OI definition, mint/redeem, collateral conversions, delayed indexer",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Reconcile with splits/merges; compare OI freshness strata.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H33,F33,Inventory accumulation,Accumulation predicts continuation more reliably than isolated purchases,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Accumulation predicts continuation more reliably than isolated purchases; this is a hypothesis, not an established AREPO result.",wallet net share accumulation over 1h / earlier visible holdings,"wallet historical balances,trades,transfers",PWALLET;PCHAIN,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/resources/contracts,6h,1h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Reconciled inventory windows,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Transfers mistaken for buys; hedges in unobserved venues,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Trade-only and transfer-adjusted variants; no inferred private portfolio.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E14;HYP,Designed; not executed; no edge established
H34,F34,Wallet specialisation,Domain-specific historical skill beats pooled wallet rankings,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Domain-specific historical skill beats pooled wallet rankings; this is a hypothesis, not an established AREPO result.",past-category exposure entropy and category-specific posterior excess score,"mature wallet history,category map version",PWALLET;PGAMMA,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,6h,1h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Several prior independent events per domain; shrink sparse wallets,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Posthoc category choice; one dominant event; survivor bias,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Leave-one-domain-out sensitivity; compare pooled and partially pooled posteriors.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E10;E24,Designed; not executed; no edge established
H35,F35,Public wallet co-trading graph,Repeated co-trading structure predicts incremental flow quality,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Repeated co-trading structure predicts incremental flow quality; this is a hypothesis, not an established AREPO result.",past-only graph similarity from co-trade times/markets; clustered net flow,"public addresses,fill times,markets; windowed graph",PWALLET;PCHAIN,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/resources/contracts,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Historical graph constructed before origin,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Common news, exchanges, many people sharing infrastructure; identity uncertainty",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then No real-person attribution; degree/time-of-day preserving shuffled graph placebo.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P3,Speculative: retain as a falsifiable candidate; defer expense until core controls work.,HYP,Designed; not executed; no edge established
H36,F36,Cross-venue probability gap,A verified cross-venue gap predicts convergence of the lagging contract,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"A verified cross-venue gap predicts convergence of the lagging contract; this is a hypothesis, not an established AREPO result.","rule-aligned PM midpoint minus Kalshi implied midpoint, net of observable costs","venue quotes,rule texts,fees,settlement currencies,clock latency",XKALSHI;PBOOK,https://docs.kalshi.com/getting_started/quick_start_market_data | https://docs.polymarket.com/market-data/realtime-data,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Strictly equivalent event/settlement definitions,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Different rules, fees, access, currency, liquidity and expiry",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Separate price prediction from executable multi-leg arbitrage; test which venue leads.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E08;E09,Designed; not executed; no edge established
H37,F37,Mutually exclusive outcome coherence,Coherence deviations predict relative repricing after full-set and cost controls,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Coherence deviations predict relative repricing after full-set and cost controls; this is a hypothesis, not an established AREPO result.",sum outcome prices minus 1; executable basket cost separately,"event grouping,all outcome prices,ask depths,fee config",PGAMMA;PBOOK,https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://docs.polymarket.com/market-data/realtime-data,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Verified exhaustive mutually exclusive outcomes,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Incomplete outcome set, negative-risk conversion, missing depth",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Use midpoint deviation for predictive test and basket asks only for economic test.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E08;E09,Designed; not executed; no edge established
H38,F38,Nested threshold monotonicity,Violations or unusual curve shape predict relative correction,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Violations or unusual curve shape predict relative correction; this is a hypothesis, not an established AREPO result.","p(X>higher strike)-p(X>lower strike), matched expiry/rules","strikes,expiry,quotes,oracle definition",PGAMMA;PBOOK,https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://docs.polymarket.com/market-data/realtime-data,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Exact common-underlying and same-time outcomes,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Different time windows or reference prices; mapping errors,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Require human-reviewed mapping and bid/ask-aware bounds.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E08;HYP,Designed; not executed; no edge established
H39,F39,Probability-regime nonlinearity,"Predictive signal changes continuously across near-zero, central and near-one probabilities",No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Predictive signal changes continuously across near-zero, central and near-one probabilities; this is a hypothesis, not an established AREPO result.",spline(logit(midpoint)) interacting with price and flow features,"probability,returns,flow; training knot locations",PBOOK;PTRADE,https://docs.polymarket.com/market-data/realtime-data | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Entire eligible probability range with quality controls,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Mechanical bounded support; favourite-longshot calibration differs by horizon,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare continuous effects with fixed probability exclusions on same population.",L: existing-data or low-volume metadata pilot; planned 1-3 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E10,Designed; not executed; no edge established
H40,F40,Time-to-close and information time,Information time explains signal decay better than an arbitrary time-to-resolution cutoff,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Information time explains signal decay better than an arbitrary time-to-resolution cutoff; this is a hypothesis, not an established AREPO result.","separate log(seconds_to_close), log(seconds_to_event), log(seconds_to_resolution)","versioned close,announced event and resolution state",PGAMMA;POFFICIAL,https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://developer.parliament.uk/,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Valid source times with uncertainty flags,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Close extensions and source end-date semantics; known outcome before resolution,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Never substitute current final close date for as-known close date.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E15;HYP,Designed; not executed; no edge established
H41,F41,Market age and discovery lag,New-market price discovery yields different signal effects from mature markets,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"New-market price discovery yields different signal effects from mature markets; this is a hypothesis, not an established AREPO result.",time since creation; time since first observed; discrepancy retained,"createdAt,first received,first tradable book",PGAMMA;PBOOK,https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://docs.polymarket.com/market-data/realtime-data,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,New and matched mature markets; universe entry captured,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Left truncation; retrospective survival; launch incentives,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Include delisted and never-active markets in discovery denominator.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H42,F42,Incentive and reward changes,Reward changes alter apparent book signals and short-horizon reliability,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Reward changes alter apparent book signals and short-horizon reliability; this is a hypothesis, not an established AREPO result.","change in reward rate,min size,max spread,fee config before origin","versioned public incentives,quotes,trades,fees",PREWARD;PBOOK,https://docs.polymarket.com/api-spec/clob-openapi.yaml | https://docs.polymarket.com/market-data/realtime-data,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Documented parameter changes with known observation times,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Policy responds to liquidity; nonrandom treatment,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Matched interrupted-time analysis plus predictive interaction; no causal claim without assumptions.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
